sentence|category
Yanni is cold. He needs a sweater.|1
Yanni caught the scorpion, took it out and released it.|2
Yanni noticed a woman sitting there.|1
Yanni is traveling in Japan.|1
Yanni answers every comment.|1
Yanni answers every question.|1
Xiaoming could not handle his mother's scolding anymore, bursting into tears.|2
Didn't you know turtles lay eggs?|1
Did you know that Tom and John were brothers?|2
Did you know that Prince Philip could speak German without an accent?|2
Did you know that Tom and John were brothers?|2
Did you know Tom was in there?|1
Did you know Mary and Alice were Tom's sisters?|2
Did you know that Tom and John were brothers?|2
Did you know that Tom was kidnapped when he was three?|2
Would you make room for me?|1
Could you please add me on WhatsApp?|1
Will you look after my children for me?|1
Would you say you're talkative?|1
Would you really do that for me?|1
Will you hold this for me?|1
Were you stung by a bee?|1
Have you been bitten by a stray dog?|1
Have you ever been hospitalized for bronchitis or pneumonia?|2
Have you ever been treated for a bladder infection?|2
Would you please tell me what I should do next?|2
Could I have a subway map, please?|1
Can you excuse me, please?|1
Have you ever been tested for tuberculosis?|1
Have you ever been hospitalized in a psychiatric hospital?|2
Did you receive immunization shots as a child?|1
Will you hold this for me?|1
Would you please come over here?|1
Was the operation an outpatient procedure?|1
Have you ever been diagnosed with a learning disability?|2
Would you like a free sample?|1
Would you like a window seat?|1
What do you want to know that for?|1
Where the hell were you? Why didn't you call me?|2
Where are you taking that?|1
Where are you taking that?|1
Where do you live now?|1
Where are you off to?|1
Where are you taking that?|1
Where were your parents?|1
What are the children afraid of?|1
What are the children afraid of?|1
Where do you speak Esperanto?|1
Where do you want it?|1
Where are you sitting now?|1
Where are Tom's keys?|1
Where are my red stockings?|1
Where are the most beautiful sentences?|1
Where are the meters?|1
Where are the crocodiles?|1
Where are the books that I need?|1
Where are the books I need?|1
Where are the car keys?|1
Where are your eyes?|1
Excuse me, where's the toilet?|1
Where are you all?|1
No matter what they're talking about, Tom and his wife never agree.|2
What are you two fighting about?|1
What did you talk about?|1
Words should be meaningful, not just verbiage.|1
Words, when well chosen, have such great force in them.|2
What's asphalt made of?|1
What are you waiting for? Give an answer.|1
What do you take pride in?|1
What do you take pride in?|1
How can I know whether Tom loves me?|1
What were you thinking, Tom?|1
What should I look for?|1
What am I supposed to be looking for?|1
Where would you prefer to sit?|1
Which shall I begin with?|1
Where does Tom do that?|1
Don't you want to stop Tom?|1
Do you want another one of these?|1
Do you want another one of these?|1
Are you sure you don't want to wait for Tom?|2
Is that what you wanted to say? Yes. You nailed it.|2
Why don't we go outside and sit in the sun?|2
Should we wait for him?|1
Do you guys want to eat lunch together?|1
Do you want to take that risk?|1
Skyscrapers are beautiful structures.|1
Where is Esperantoland actually?|1
Where there is life, there is hope.|1
Where could I hide?|1
Where could the cat be?|1
Where can I charge my mobile?|1
Where can I pick up the cards?|1
Where's Tom's mother?|1
Where's Tom? He's over there.|1
Where's Tom? He didn't make it.|1
Where's Tom? He's over there.|1
Where is she now?|1
Where is my phone?|1
Where is my time machine?|1
Where is Mary? She's not working today.|1
Where's her hat?|1
Where did it happen?|1
Where's the nearest subway station?|1
Where is the nearest bench?|1
Where's the TV remote?|1
Where's the bus stop?|1
Where is the bridge?|1
Where's the safe?|1
Where's the beach?|1
Where's the park?|1
Where's the safe?|1
Where's the nearest shop?|1
Where's the bus for the city?|1
Where is the railway station?|1
Where is the railroad station?|1
Where's Tom? Cleaning his room.|1
Where's Tom? He's sick.|1
Where is your teaching material?|1
Where is your house?|1
Where's your first aid kit?|1
Where's your cousin? He just left.|1
Where's your other brother?|1
Where's the waiting room?|1
Where's the nearest museum?|1
Where's the shampoo?|1
Are you still living with your mom?|1
Where have you traveled?|1
Where have you traveled?|1
I wonder where Tom could have gone.|1
Where has she gone?|1
No matter where I go, I get lost.|1
Where did you put the bottles?|1
Where have I put my key?|1
What have I done with my key?|1
Where are you going the day after tomorrow?|1
Where have you traveled?|1
Where have you gone?|1
How did Tom know about our plan?|1
How did you people know?|1
How did you know I was Canadian?|1
How do we know that she is who she says she is?|2
How do you know his name?|1
How should I know?|1
How do you know my wife?|1
How do you know my wife?|1
How on earth did you know that?|1
Where did you get this wonderful bouquet of flowers?|2
Where did Tom get his hair cut?|1
Where did Tom work?|1
Where did they teach you that?|1
Where did you learn that word?|1
Where did you buy that tie?|1
Where did you get that?|1
Where did you spend your summer vacation?|1
Where did you buy flowers?|1
Where did you buy that tie?|1
Where did you see the boy?|1
Where did you get that suit?|1
Where did I put them?|1
Where did I put my reading glasses?|1
Where is there a good course for Guarani?|1
Where do you go to school?|1
Where are you heading?|1
Where can I find a cinema round here?|1
Where can I find a cinema near here?|1
Where are we eating tonight?|1
What causes static electricity?|1
There are many lakes in the area where you live.|2
Where language ends, music begins.|1
Where are you? Over here.|1
Where's the nearest tube station?|1
Do you know where I am?|1
You know what we forgot?|1
Do you know what her name means?|1
Do you know whether or not Tom and Mary plan to go to Boston next weekend?|2
Do you know anything about your family?|1
Did you know that peanuts aren't really nuts?|1
Do you know where Tom and his friends went?|2
Do you know where I am?|1
Do you know how much you weigh?|1
Do you know how the accident happened?|1
Do you know what you've done?|1
Do you remember when you last saw Tom?|1
Scientists say the record heat seen in Europe but also North America and parts of Asia this year points to the influence of man-made climate change, and could become more common in future.|3
Scientists are keeping a close watch on conditions in the Arctic.|2
To know is one thing, to teach is another.|2
The two of us split up last year.|1
We took our boots off.|1
We took off our boots.|1
We put our boots on.|1
We took our socks off.|1
We took off our socks.|1
We prefer to work on our own.|1
We knew that the dog would chase the cat.|2
We were well looked after.|1
We were rudely interrupted.|1
We wanted to wash our hands.|1
We wanted to warn Tom.|1
We didn't want to humiliate them.|1
We meant no harm.|1
We wanted to instill a feeling of hope.|1
We want to learn a lot of things.|1
We want to sell our car.|1
We want to be international.|1
We want to live here.|1
Let's cut to the chase.|1
We want it back.|1
We want to tell Tom.|1
We want to see the king.|1
We want Tom on our team.|1
We do want that, don't we?|1
We all want to stay healthy.|1
We lived in Paris before.|1
We were next-door neighbors.|1
We stayed at a cheap hotel.|1
We live near the large library.|1
We live very near the school.|1
We know who our enemies are.|1
We don't know whether Tom can come or not.|2
We appreciate you coming.|1
We both know Tom and Mary are innocent.|1
We'll walk.|1
We will meet again.|1
We'll deal with it later.|1
We will deal with that question in the next lesson.|2
We will tidy up our room so that Mom is satisfied.|2
We won't sell our land.|1
We are going to visit our uncle next Sunday.|2
We'll announce our decision tomorrow.|1
We'll see to it.|1
We'll surprise Tom.|1
We'll need Tom's help.|1
We won't forget Tom.|1
We won't fire Tom.|1
We'll speak to Tom later.|1
She is going to miss us.|1
We will never know how he's feeling.|1
We'll scold Tom.|1
We will reach London before dark.|1
We will explore every planet that goes around the sun.|2
We will be living in England.|1
We'll be on the road for a total of five days.|2
We will visit you sometime.|1
We'll take a look.|1
We'll do it the same way we did it last time.|2
We'll be watching you.|1
We'll be here all day.|1
We'll do that.|1
We'll never have to do this again.|1
We advertise our products on TV.|1
We're waiting for our mother.|1
We're waiting for lunch.|1
How about a rain check?|1
We've had our differences, but that’s all behind us now.|2
We were too slow.|1
We happened to be in London at that time.|2
We agreed that there was no other alternative.|1
We were rude to Tom.|1
We were surprised to hear him make such scathing remarks about his best friend.|2
We were happier than we had ever believed possible.|2
We were very proud of our son.|1
We were mean to Tom.|1
We were all ears.|1
We're all ex-marines.|1
We were once friends with Tom.|1
We were one big happy family.|1
We stayed awake all night telling ghost stories.|1
We were rich at the time.|1
At the time, we were just fifteen years old.|2
We were all in love with Tom.|1
We quickly averted our eyes.|1
We're looking at our options.|1
We wouldn't use the vosotros form if we didn't live in Spain.|2
We tried to relax.|1
We both tried standing on our heads.|1
We're trying not to think about that.|1
We're trying not to think about it.|1
We've been trying to sell our land.|1
We don't understand French.|1
We understand your anger.|1
We promise to do our best.|1
We ate the smoked salmon.|1
We're wasting time here.|1
We miss our children.|1
We really miss our wives.|1
We sure miss Tom.|1
We demanded that she should make up for the loss.|2
We just sold our car.|1
We're working hard to reach our goals.|1
We spent the night at a five-star hotel.|1
We're checking the whole area.|1
We're trying to do the best we can to save as many turtles as possible.|2
We'll meet you out front.|1
We did our duty.|1
We've been on strike for three weeks.|1
We agreed with his plan.|1
We got into a car.|1
We're close.|1
We have our backs to the wall.|1
We're close to making a deal.|1
We're up to our ears in debt.|1
Aren't you ever going to tell me what happened that night?|2
Are you going to vote in the upcoming election?|2
Are you going to study French?|1
Will you take part in the ceremony?|1
We can't speak Japanese.|1
Almost all of us can speak French.|1
We all speak English.|1
We were playing on the beach.|1
We often play chess.|1
We play soccer every Saturday.|1
We worry about Tom.|1
Maybe we ought to find who did this.|1
Evidently, it's time for us to leave.|1
We should get some sleep.|1
We should take better care of the garden.|1
We should sue Tom.|1
We should call Tom.|1
We should get away from here as quickly as we can.|2
We should work faster.|1
We should go to sleep.|1
Let's not forget that Tom doesn't understand French.|1
We should go by train.|1
We should cancel the hike.|1
We should go whole hog.|1
We should go the whole hog.|1
We should make use of atomic energy.|1
They want us to pay the bill now.|1
We never sit in the front.|1
We got up too late and we missed the train.|2
We left together.|1
We stayed in our houses.|1
We came to the conclusion that he should be fired.|2
We're a lot younger than Tom.|1
We are so similar and so different at the same time.|2
We haven't yet been informed of the committee's decision.|2
We're proud of our dad.|1
We're proud of our work.|1
We die, but some chess games are everlasting.|1
We're very happy with the results.|1
We're very proud of our team.|1
We're very disappointed in you.|1
We're practically family.|1
We're just colleagues.|1
We're just friends.|1
We are still hoping that Tom will get better.|2
We're not like Tom and Mary.|1
We aren't like Tom and Mary.|1
We're not in love. We're just good friends.|1
We aren't young.|1
We are not young.|1
We're not lazy.|1
We're not all as busy as you are.|1
Of course, we're disappointed.|1
We moved to Australia, the home of kangaroos.|1
It was sunny when we arrived, but rainy when we left.|2
We aren't foreigners.|1
We aren't foreigners.|1
We're on our way now.|1
We are friends now.|1
There are five people in our family.|1
We've been spending a lot of time together.|1
We're in Calgary!|1
We're still up.|1
We're here to have fun.|1
This is America, speak English!|1
This is America, speak English!|1
This is America, speak English!|1
We're here with Tom.|1
We are at home today.|1
We're good friends, nothing more.|1
We went to Sydney yesterday.|1
We're a bit short of money now.|1
We are happy to see you again.|1
We are friends, and friends help each other.|1
We’re through!|1
We're a bit hungry.|1
We stayed outside because we wanted to.|1
We are the students of this school.|1
That's our fault.|1
We're pleased with the way things turned out.|1
We're willing to learn.|1
We stayed with Tom.|1
We're both from Boston.|1
We're thrilled with the way things turned out.|1
We're pretty close to finishing this.|1
We decided to drive there on a whim.|1
We went to different schools.|1
We're very proud of our kids.|1
We depend on you.|1
We're on our way to work.|1
We're on our way home.|1
We're going the wrong way.|1
We're prepared for anything that might happen.|1
We're used to the cold.|1
We're all God's children.|1
We're all children of God.|1
We put our hats on.|1
We put on our hats.|1
We're facing many difficulties.|1
We're just looking around.|1
I'll see you in Japan.|1
We see with our eyes.|1
We swam in the sea.|1
We shouted at Tom.|1
We both fell asleep.|1
We sat next to Tom.|1
We sang for her.|1
We spotted Tom in the crowd.|1
We saw Mr. Sato leave the room.|1
We saw a troop of monkeys moving from tree to tree.|2
We don't tell our kids that we love them, but express our affection in other ways, for example, by encouraging them to perform better in school. This is the most Asian thing I've ever heard, Yumi.|3
We called our lawyer.|1
We fix all kinds of clocks here.|1
We're cycling to the lake.|1
We're biking to the lake.|1
We opened the door.|1
We opened our eyes.|1
We don't accept tips.|1
We'll take the next bus.|1
We took a taxi so as not to be late.|2
We are nearing our goal.|1
We had to write off the debt.|1
We had to call a taxi.|1
We had to walk all the way to the station.|2
We have to make sure that we never do this again.|2
We need to buy some toothpaste.|1
We need to know if Tom will be present.|2
We need to know if she will be present or not.|2
We have a long way to go.|1
We need to get home before 2:30.|1
We must get there before them.|1
We need to figure out a way to pay all these bills.|2
We have to do better than this.|1
We need to get out of here right now.|2
We need to get out of here right away.|2
We must've been wrong.|1
We have to do the best we can.|1
We need to finish painting our house.|1
We need to sell our house.|1
We have to sell our house.|1
We need to wash our clothes.|1
We need to wash our car.|1
We need to charge our cell phones.|1
We really need to call the police.|1
We need to know everything there is to know about Tom.|2
We need to get Tom out of here.|1
We have to help Tom.|1
We need to make sure Tom knows how to do that.|2
We need to convince Tom to tell the truth.|2
We have to be strict.|1
We need to fill as many buckets with water as we can, because the water is being cut off.|2
We must leave right away.|1
We need to be very careful.|1
We need to go faster.|1
We need to go faster.|1
We need to get home.|1
We need to know more.|1
We must pay a toll to drive on this road.|2
We need to be more careful in the future, so this doesn't happen again.|2
We need to find out when Tom plans to be here.|2
We need to tell her what to do.|1
We must find him.|1
We have to stay here until Tom gets back.|2
We must look after her children this evening.|1
We have to do something to stop this from happening again.|2
We need to do it today.|1
We must do it for Tom.|1
We have to find out who did this.|1
We have to figure out who started the fire that burned down Tom's house.|2
We just have to keep working.|1
We need to rent a car.|1
We need to do this report again.|1
We need to dispose of these chemicals properly.|1
We must finish this work at any cost.|1
We need to get the hedge trimmed.|1
We must pay attention to traffic signals.|1
We need to remember those who helped us.|1
We have to face the facts.|1
We have to be willing to take the first step.|2
We need to take that bus.|1
We have to stop it.|1
We need to figure this out on our own.|2
We need to repair that.|1
We must do this right now.|1
We need to change our shirts.|1
All of us need to do this again tomorrow.|2
We must believe we can win.|1
We need to consider other options.|1
We all need to be extremely careful.|1
We like our house.|1
We like our school.|1
We like the same things.|1
We wish to invite Peter to Japan in the near future.|2
We don't want to hurt you.|1
We want to book a trip to Belarus.|1
We want to spend the holidays in a quiet place.|2
We'd like you to finish the job by the end of this week by all means.|2
We chartered a bus.|1
We made the best of our small room.|1
We're doing what we want to do.|1
We worry about you, Tom.|1
We're worried about you, Tom.|1
We are anxious about your health.|1
We are going to pause now.|1
We left Tom alone.|1
We ran back to our cars.|1
We love our dad.|1
We love our mom.|1
We love our mom.|1
We love our work.|1
We love her, and she loves us, too.|1
We love reading books.|1
We suffer from an incurable disease called hope.|1
We live in an age where everything is settled through violence.|2
We live in the city.|1
We always let our dog sleep inside.|1
We cried in each other's arms.|1
We'll handle Tom.|1
We could go together.|1
We couldn't open the door because it was locked from the inside.|2
We could do with Tom's help. Could you work on him a bit?|2
We could get caught.|1
We could lose our jobs.|1
We cannot deal with such a difficult problem.|1
We can leave our baggage in a locker.|1
We can't look at that right now.|1
We can beat Tom.|1
We can't lie to Tom.|1
We can do it right now.|1
All we can do is keep working.|1
All we can do is sit here and wait.|2
We can't predict how Tom is going to feel.|2
We cannot turn back.|1
We can't stop at every rest stop.|1
We can not suffer violence.|1
We can't risk it.|1
Unfortunately, there's nothing we can do to change it.|2
We can help you.|1
We can't fix this by selling stuff!|1
We can't leave it up to chance.|1
We're not getting anywhere.|1
We come here every day.|1
We are from Russia.|1
We clapped our hands.|1
We are fighting an enemy we don't know.|1
We arrived there before noon.|1
We are haunted by an ideal life, and it is because we have within us the beginning and the possibility for it.|3
We just ignore Tom.|1
We heard the echo of our voices from the other side of the valley.|2
We hope to improve with time.|1
We hope to meet you again.|1
We hope Tom gets well soon.|1
We stuck by Tom.|1
We kept our eyes closed.|1
We had a lot to celebrate.|1
We could've lost our jobs.|1
We agreed on a price, but afterwards they wanted 10 dollars extra.|2
We could've died.|1
We had fun shopping.|1
We had nothing in common.|1
We had a similar case last year.|1
We didn't have any time to lose.|1
We didn't have a good plan.|1
We had no proof.|1
We had no idea what Tom and Mary were going to do.|2
We had plenty of time.|1
We had a bumper crop this year.|1
We should have gotten married.|1
We would've helped, if you'd asked.|1
We would have bought the plane tickets if the price had been a little lower.|2
We await you.|1
We've got two dogs, three cats and a parrot.|2
We have two dogs, three cats and a parrot.|2
We have two television sets.|1
We don't have time to play.|1
We have time. There's no rush.|1
We've overlooked many important facts.|1
We have many varieties of coffee.|1
We have many good friends.|1
We tried to persuade him.|1
We forgot to lock our house.|1
We had our picture taken by Tom.|1
We did have a look around for you!|1
We've done OK.|1
We sold our house in Boston.|1
We sold our house yesterday.|1
We've got our pride.|1
We let our dog sleep inside last night.|1
We let our dog sleep inside.|1
We fired our chauffeur.|1
We missed our bus.|1
We've already paid our rent.|1
We didn't do our homework.|1
We missed our stop.|1
We fired our chauffeur.|1
We did our work.|1
We've finally decided on a name for our baby! Let me guess. It's Tom, isn't it? Actually, no; it's John.|2
We talked the whole night.|1
We shaved our heads.|1
We both broke our legs.|1
We had a traditional church wedding.|1
We sold Tom our car.|1
We didn't help Tom.|1
We didn't find Tom.|1
We just fired Tom.|1
We found Tom.|1
We sold Tom one of our cars.|1
We sold one of our cars to Tom.|1
We got Tom to do that.|1
We asked Tom to do that.|1
We have so much to live for.|1
We've even got colour television.|1
We saw them dance.|1
We got married very young.|1
We haven't heard from Tom in ages.|1
We ordered a pizza with potatoes and pickles.|1
We made pancakes for breakfast.|1
We have only three hours' time.|1
We haven't yet done everything we need to do.|2
We have just over a week left.|1
We never talked about religion.|1
We have no one to help us.|1
We have not lost hope.|1
We don't have much water.|1
We don't have much money.|1
We have nothing to drink.|1
We don't have anything to eat except apples.|1
We have nothing to do with them.|1
We don't have anything to eat except apples.|1
We could see nothing but fog.|1
We don't have a lot of time left.|1
We didn't play well.|1
We don't have enough time to build another barn before winter.|2
We didn't finish our dinner.|1
We won hands down, because the other players were weak.|2
We sang in loud voices.|1
We quit smoking.|1
After all, we didn't say we'd do it.|1
We have no means of transportation.|1
We're out of salt.|1
We don't have any more salt.|1
We don't have a landline anymore.|1
We don't have time to argue about this.|1
We don't have food in the house.|1
We're out of soap.|1
We don't have a tumble dryer.|1
We have no idea about his whereabouts.|1
We played together every day when we were kids.|2
We're always hungry.|1
We made him go.|1
He has missed us.|1
We have very strict rules here.|1
We have some eccentrics here.|1
We have six classes today.|1
We bagged two hot girls tonight.|1
We did all we could.|1
We just got started.|1
We have a good team right now.|1
We've enough place.|1
We learned that the earth goes around the sun.|2
We learned that English is an international language.|1
We didn't play well at all.|1
We assumed so.|1
We're in a hurry.|1
We aren't in any hurry to do that.|1
We added a room to our house.|1
We have a president.|1
We have a colleague in Spain.|1
We've made a big mistake.|1
We have a map.|1
We have a cat and a dog.|1
We really have a lot in common.|1
We set a trap to catch a fox.|1
We made a decision.|1
We've got plans of our own.|1
We lost three times in a row.|1
We've been through three wars.|1
We didn't see anyone there.|1
We didn't see anybody there.|1
We measured the depth of the river.|1
We got this chair for nothing because the lady next door didn't want it anymore.|2
We haven't called the police yet.|1
We lost our tempers.|1
We visited the museum and exhibition complex.|1
We spent all day looking for the keys that Tom had lost.|2
We spent the entire day on the beach.|1
We ended up losing the game.|1
We've already been through this.|1
We didn't find out about that until yesterday.|1
We made a lot of money doing that.|1
We started it.|1
We have not received a letter from him so far.|2
We both have gout.|1
We both lost our phones.|1
Both of us lost our phones.|1
We had a good reason for doing that.|1
We believed in Tom.|1
We're scared of Tom.|1
We have all the time in the world.|1
We've lost all hope of being compensated.|1
We both have driver's licenses.|1
We'll attack at sunrise.|1
We win as a team, and we lose as a team.|2
We'll go when it's stopped raining.|1
We'll go when it has stopped raining.|1
We'll leave at eight o'clock.|1
We'll go ask Tom.|1
We will go for a walk, unless it rains.|2
We will go for a walk, unless it rains.|2
We don't go anywhere anymore.|1
We're not going to Boston.|1
We're not going out.|1
We are going to the cinema.|1
We're avoiding them.|1
We're not going anywhere today.|1
We're expecting Tom to be here next Monday.|1
We're never giving up hope.|1
We feed our dog twice a day.|1
We took the bus from Brussels to Paris.|1
We're happy for Tom.|1
We're all looking forward to the concert.|1
We started at the same time.|1
We might not ever find what we're looking for.|2
We partied all night long.|1
Throw away these rotten bananas.|1
Please throw me the ball.|1
We're going to the airport to meet Tom.|1
We're going to Germany.|1
We'll go there by bike.|1
We'll leave first thing in the morning.|1
We're expecting a good harvest this year.|1
We're expecting company this evening.|1
We're investigating Tom's murder.|1
We received an immediate answer to our letter.|1
Is world peace made possible by friendship?|1
We can't let them kill Tom.|1
We can't let Mary die.|1
We must not violate the Constitution.|1
Will Tom be doing that anymore?|1
When you die, do you become a skeleton or an angel?|2
Will Madonna ever stop singing?|1
We disputed for hours about what to write.|1
We discussed the problem freely.|1
Are the goods transported by ship or air?|1
Are the goods shipped, or are they transported as airfreight?|2
Will the importance of a queen be less than that of a king? Why doesn't the man she marries become a king as a result?|3
Will the train be on time?|1
Will the train arrive on time?|1
Is German spoken too?|1
We thought maybe you could help us.|1
We thought you knew.|1
We thought maybe you could help us.|1
We thought maybe you could help us.|1
We thought that we wouldn't be able to stop him.|2
We thought you were sleeping.|1
We'll take you home.|1
We need action, not words.|1
All we need is water.|1
We need more beer.|1
We really don't need any more volunteers.|1
We need a saw.|1
We need a press unhampered by government censorship.|1
We need leverage if we're going to lift this.|2
We need a veteran tracker to find the lost child.|2
You need great endurance to run ten thousand meters.|2
We don't need these rules.|1
We stayed in our houses.|1
We stayed at home because it was very cold.|2
We stayed in our car.|1
We stayed in Boston for a few months.|1
We'll ask Tom for permission.|1
We don't question what you say.|1
We pay our bills on time.|1
We visited the museum and exhibition complex.|1
We are applying butter on our bread.|1
We discussed the problem.|1
We decided to stay inside since it was raining.|2
We decided to stay inside because it was raining.|2
We regretted our decision.|1
We noticed Tom sitting by himself under a tree.|2
We'll have a new teacher tomorrow.|1
We'll have a new teacher tomorrow.|1
We are going to have a baby.|1
We're starting a new life.|1
We're at war with Australia.|1
We pitched our tents before it got dark.|1
We had lunch.|1
We work for eternity, not for the moment.|1
We all know that dogs like to gnaw on bones.|2
We all know dogs like to gnaw on bones.|2
All of us were not satisfied with the system.|2
We're all prisoners.|1
We all like you a lot.|1
All of us like you very much.|1
We all like you a lot.|1
All of us like you very much.|1
We all like you a lot.|1
All of us like you very much.|1
We respect our teachers.|1
Offshore units are more efficient because wind speeds tend to be faster and steadier than on land, and even small increases in speed yield large increases in energy production.|3
Don't you want to talk to a lawyer?|1
Don't you want to go to the party?|1
Are you going to leave me here by myself? No, of course not.|2
Are you trying to upset me?|1
Do you want me to help you or not?|2
Do you want to tell him you love him?|2
Would you like to drink anything?|1
Are you trying to get yourself fired?|1
Do you want to see a trick?|1
Do you want to risk that?|1
Are you saying Tom isn't from Boston?|1
Are you saying you don't want me to call? No, not at all. Please call me anytime.|2
Do you mean that you've never seen a panda?|2
Are you sure you don't want to wait for Tom?|2
Are you trying to get yourself thrown out of the club?|2
Welcome to the long night of cheese and wine.|2
Welcome to Berlin! Did you have a good flight?|2
How does the knight move?|1
How was Tom killed?|1
What are some good ways to break a bad habit?|2
How is it made?|1
How far must we walk before we admit we are lost?|2
How far is Algeria from Japan?|1
How was your stay?|1
How was school today?|1
How about we go to my place after the party?|2
How about we go watch a movie?|1
How about I do that?|1
How about tomorrow night?|1
How would you feel if I said that to you?|2
How was your stay?|1
How much time do you spend on Facebook?|1
How much time are we going to save?|1
How much do I owe you for the ticket?|2
How many times a day do you wash your hands?|2
How much is the most expensive car?|1
How much does it cost?|1
How much do these glasses cost?|1
How many boys are there in this class?|1
What is the value of an average home in your area?|2
What is the total amount?|1
How much money do we owe them?|1
How much money does a basement window like that cost?|2
How many different pieces are there in Japanese chess?|2
How many cups of coffee do you drink every day?|2
On average, how many cups of coffee do you drink daily?|2
On average, how many cups of coffee do you drink daily?|2
How many days are in February?|1
How many stars are there in our galaxy?|1
How many sanitary towels do you need every day?|2
How many pages did you translate today?|1
How many students are there in your class?|1
How many novels did you read last year?|1
How many packs of cigarettes do you smoke daily?|2
How many caps do you own?|1
How many people want to go swimming with us?|2
How many people are in space right now?|1
How many masts has that ship got?|1
How many masts does that ship have?|1
How many spoonfuls of sugar do you usually put in your tea?|2
How many people do you see?|1
How many cats have you got, then?|1
How many kanji are there?|1
How many decades have you lived in this house?|2
How many decades have you lived in this house?|2
How many decades have you lived in this house?|2
How many more years will you drive this car?|2
How many years were Tom and Mary in Boston?|2
How many years did it take to build the pyramids?|2
How many years have you studied French?|1
How many dogs have you got, then?|1
How many dogs are there in your neighborhood?|1
How many siblings do you have?|1
How many women work here?|1
How many photos are in this album?|1
How many fingers am I holding up?|1
How many close friends do you have?|1
How large is the population of this city?|1
How many Chinese characters are there?|1
How many people work here?|1
How much cash do you have?|1
How much alcohol do you usually drink?|1
How do you get along with your parents?|1
How common is intelligent life?|1
How do you translate Pfirsichbaeumchen into Berber?|1
How do you make decisions?|1
What's the bus fare?|1
What's the best way to thaw beef?|1
How do you pronounce that?|1
Why do you want to study abroad?|1
How come you don't do that?|1
How am I to get in?|1
How do we explain this to the kids?|1
Why is the sky blue?|1
Why did you paint the bank red?|1
Why do people hang sneakers from power lines?|1
Why don't we attack?|1
Why don't we start right now?|1
Why do you need so much?|1
Why is he angry about something like that?|1
How do you view this matter?|1
How did you come by those rare books?|1
How do you view this matter?|1
What do they look like?|1
How hard is it for a Portuguese speaker to learn Spanish?|2
How do you write a good CV?|1
How beautiful you are!|1
What speed can a rowing boat make?|1
How fast can a rowing boat go?|1
How fast that dog runs!|1
How's the cake? It is a bit dry, but apart from that, it tastes good.|2
I wonder how Tom's legs can handle all that running. His knees must be killing him.|2
How do they build houses so cheaply?|1
How can I manage to finish on time?|1
How do you say XXX in Dutch?|1
How considerate of you!|1
How often do you drink alcohol?|1
How often do you have to charge your mobile?|2
How many vacations do you have a year?|1
