sentence|category
Wolkenkratzer sind schöne Bauwerke.|1
Wo liegt eigentlich das Esperantoland?|1
Wo Leben ist, da ist Hoffnung.|1
Wo könnte ich mich verstecken?|1
Wo könnte die Katze sein?|1
Wo kann ich mein Handy laden?|1
Wo kann ich die Karten abholen?|1
Wo ist Toms Mutter?|1
Wo ist Tom?“ – Er ist da drüben.“|1
Wo ist Tom?“ – Er hat es nicht geschafft.“|2
Wo ist Tom?“ – Da drüben ist er.“|1
Wo ist sie jetzt?|1
Wo ist mein Telefon?|1
Wo ist meine Zeitmaschine?|1
Wo ist Maria?“ – Die arbeitet heute nicht.“|1
Wo ist ihr Hut?|1
Wo ist es passiert?|1
Wo ist die nächste U-Bahn-Station?|1
Wo ist die nächste Bank?|1
Wo ist die Fernbedienung?|1
Wo ist die Bushaltestelle?|1
Wo ist die Brücke?|1
Wo ist der Tresor?|1
Wo ist der Strand?|1
Wo ist der Park?|1
Wo ist der Panzerschrank?|1
Wo ist der nächste Laden?|1
Wo ist der Bus, der in die Stadt fährt?|2
Wo ist der Bahnhof?|1
Wo ist der Bahnhof?|1
Wo ist denn Tom?“ – Der räumt sein Zimmer auf.“|2
Wo ist denn Tom?“ – Der ist krank.“|1
Wo ist dein Unterrichtsmaterial?|1
Wo ist dein Haus?|1
Wo ist dein Erste-Hilfe-Kasten?|1
Wo ist dein Cousin?“ – Der ist gerade gegangen.“|2
Wo ist dein anderer Bruder?|1
Wo ist das Wartezimmer?|1
Wo ist das nächste Museum?|1
Wo ist das Haarwaschmittel?|1
Wohnst du noch bei deiner Mutter?|1
Wohin sind Sie schon gereist?|1
Wohin seid ihr schon gereist?|1
Wohin mag Tom wohl gegangen sein?|1
Wohin ist sie gegangen?|1
Wohin ich auch gehe, verlaufe ich mich.|1
Wohin habt ihr die Flaschen gestellt?|1
Wohin habe ich meinen Schlüssel getan?|1
Wohin habe ich meinen Schlüssel getan?|1
Wohin gehst du übermorgen?|1
Wohin bist du schon gereist?|1
Wohin bist du gegangen?|1
Woher wusste Tom von unserem Plan?|1
Woher wusstet ihr das?|1
Woher wussten Sie, dass ich Kanadier bin?|1
Woher wissen wir, dass sie diejenige ist, die sie zu sein behauptet?|2
Woher weißt du, wie er heißt?|1
Woher soll ich das wissen?|1
Woher kennt ihr meine Frau?|1
Woher kennst du meine Frau?|1
Woher in aller Welt wusstest du das?|1
Woher hast du denn diesen wunderschönen Blumenstrauß?|1
Wo hat Tom sich die Haare schneiden lassen?|1
Wo hat Tom gearbeitet?|1
Wo hat man dir das beigebracht?|1
Wo hast du dieses Wort gelernt?|1
Wo hast du denn diesen Schlips her?|1
Wo hast du den denn her?|1
Wo hast du deinen Sommerurlaub verbracht?|1
Wo hast du Blumen gekauft?|1
Wo haben Sie denn diesen Schlips her?|1
Wo haben Sie den Jungen gesehen?|1
Wo haben Sie den Anzug denn her?|1
Wo habe ich sie hingestellt?|1
Wo habe ich meine Lesebrille gelassen?|1
Wo gibt es einen guten Kurs für Guaraní?|1
Wo gehst du zur Schule?|1
Wo gehst du hin?|1
Wo finde ich ein Kino hier in der Nähe?|2
Wo finde ich ein Kino hier in der Nähe?|2
Wo essen wir heute Abend?|1
Wodurch kommt es zu statischer Aufladung?|1
Wo du lebst, gibt es viele Seen.|1
Wo die Sprache aufhört, fängt die Musik an.|1
Wo bist du?“ – Hier drüben.“|1
Wo befindet sich der nächste U-Bahnhof?|1
Wisst ihr, wo ich bin?|1
Wisst ihr, was wir vergessen haben?|1
Wisst ihr, was ihr Name bedeutet?|1
Wisst ihr, ob Tom und Maria vorhaben, nächstes Wochenende nach Boston zu fahren?|2
Wisst ihr etwas über eure Familie?|1
Wisst ihr, dass Erdnüsse in Wirklichkeit keine Nüsse sind?|2
Wissen Sie, wo Tom und seine Freunde hingegangen sind?|2
Wissen Sie, wo ich bin?|1
Wissen Sie, wie viel Sie wiegen?|1
Wissen Sie, wie der Unfall passiert ist?|1
Wissen Sie, was Sie getan haben?|1
Wissen Sie noch, wann Sie Tom das letzte Mal gesehen haben?|2
Wissenschaftlern zufolge deutet die Rekordhitze in Europa, aber auch in Nordamerika und Teilen Asiens auf den Einfluss des vom Menschen verursachten Klimawandels hin und könnte in Zukunft durchaus üblicher werden.|3
Wissenschaftler behalten die Gegebenheiten in der Arktis genau im Auge.|2
Wissen ist eine Sache, Unterrichten eine andere.|1
Wir zwei haben uns letztes Jahr getrennt.|1
Wir zogen die Stiefel aus.|1
Wir zogen die Stiefel aus.|1
Wir zogen die Stiefel an.|1
Wir zogen die Socken aus.|1
Wir zogen die Socken aus.|1
Wir ziehen es vor, selbständig zu arbeiten.|1
Wir wussten, der Hund würde hinter der Katze herrennen.|2
Wir wurden gut betreut.|1
Wir wurden auf rüpelhafte Weise unterbrochen.|1
Wir wollten uns die Hände waschen.|1
Wir wollten Tom warnen.|1
Wir wollten sie nicht demütigen.|1
Wir wollten niemandem etwas zuleide tun.|1
Wir wollten ein Gefühl der Hoffnung aufsteigen lassen.|1
Wir wollen viel lernen.|1
Wir wollen unseren Wagen verkaufen.|1
Wir wollen international sein.|1
Wir wollen hier wohnen.|1
Wir wollen gleich zur Sache kommen.|1
Wir wollen es zurückhaben.|1
Wir wollen es Tom sagen.|1
Wir wollen den König sehen.|1
Wir wollen, dass Tom bei uns mitmacht.|1
Wir wollen das, nicht wahr?|1
Wir wollen alle gesund bleiben.|1
Wir wohnten voher in Paris.|1
Wir wohnten Tür an Tür.|1
Wir wohnten in einem billigen Hotel.|1
Wir wohnen in der Nähe der großen Bibliothek.|1
Wir wohnen ganz in der Nähe der Schule.|1
Wir wissen, wer unsere Feinde sind.|1
Wir wissen nicht, ob Tom kommen kann oder nicht.|2
Wir wissen es zu schätzen, dass Sie kommen.|1
Wir wissen beide, dass Tom und Maria unschuldig sind.|2
Wir werden zu Fuß gehen.|1
Wir werden uns wiedersehen.|1
Wir werden uns später darum kümmern.|1
Wir werden uns mit dieser Frage in der nächsten Lektion befassen.|2
Wir werden unser Zimmer aufräumen, damit Mama zufrieden ist.|2
Wir werden unser Land nicht verkaufen.|1
Wir werden unseren Onkel nächsten Sonntag besuchen.|1
Wir werden unseren Entschluss morgen bekanntgeben.|1
Wir werden uns darum kümmern.|1
Wir werden Tom überraschen.|1
Wir werden Toms Hilfe benötigen.|1
Wir werden Tom nicht vergessen.|1
Wir werden Tom nicht entlassen.|1
Wir werden später mit Tom sprechen.|1
Wir werden sie fehlen.|1
Wir werden nie erfahren, wie er sich fühlt.|1
Wir werden mit Tom schimpfen.|1
Wir werden London vor Anbruch der Dunkelheit erreichen.|1
Wir werden jeden Planeten erkunden, der die Sonne umkreist.|2
Wir werden in England leben.|1
Wir werden im Ganzen fünf Tage unterwegs sein.|1
Wir werden euch irgendwann einmal besuchen.|1
Wir werden es uns ansehen.|1
Wir werden es genauso machen wie letztes Mal.|1
Wir werden dich beobachten.|1
Wir werden den ganzen Tag hier sein.|1
Wir werden das tun.|1
Wir werden das hier nie mehr tun müssen.|1
Wir werben im Fernsehen für unsere Produkte.|1
Wir warten auf unsere Mutter.|1
Wir warten auf das Mittagessen.|1
Wir wär’s, wenn wir’s auf später verschieben?|1
Wir waren zwar nicht immer einer Meinung, aber das liegt nun alles hinter uns.|2
Wir waren zu langsam.|1
Wir waren zu der Zeit zufällig in London.|1
Wir waren uns einig, dass es keine andere Alternative gab.|2
Wir waren unhöflich zu Tom.|1
Wir waren überrascht, als wir ihn solch vernichtende Bemerkungen über seinen besten Freund machen hörten.|2
Wir waren so glücklich, wie wir es nie für möglich gehalten hätten.|2
Wir waren sehr stolz auf unseren Sohn.|1
Wir waren gemein zu Tom.|1
Wir waren ganz Ohr.|1
Wir waren früher alle bei der Marine.|1
Wir waren einstmals mit Tom befreundet.|1
Wir waren eine große, glückliche Familie.|1
Wir waren die ganze Nacht lang wach und erzählten uns Geistergeschichten.|2
Wir waren damals reich.|1
Wir waren damals erst fünfzehn Jahre alt.|1
Wir waren alle in Tom verliebt.|1
Wir wandten schnell die Augen ab.|1
Wir wägen unsere Möglichkeiten ab.|1
Wir verwendeten die Form vosotros“ nicht, wenn wir nicht in Spanien lebten.|2
Wir versuchten, uns zu entspannen.|1
Wir versuchten beide einen Kopfstand.|1
Wir versuchen, nicht daran zu denken.|1
Wir versuchen, nicht daran zu denken.|1
Wir versuchen, einen Käufer für unser Land zu finden.|2
Wir verstehen kein Französisch.|1
Wir verstehen ja deinen Ärger.|1
Wir versprechen, unser Bestes zu tun.|1
Wir verspeisten den geräucherten Lachs.|1
Wir verschwenden hier Zeit.|1
Wir vermissen unsere Kinder.|1
Wir vermissen unsere Frauen sehr.|1
Wir vermissen Tom sehr.|1
Wir verlangten, dass sie den Schaden ersetzen solle.|1
Wir verkauften unser Auto.|1
Wir verfolgen fleißig unsere Ziele.|1
Wir verbrachten die Nacht in einem Fünfsternehotel.|1
Wir überprüfen das gesamte Gebiet.|1
Wir tun unser Möglichstes, um so viele Schildkröten wie möglich zu retten.|2
Wir treffen uns draußen vor dem Eingang.|1
Wir taten unsere Pflicht.|1
Wir streiken seit drei Wochen.|1
Wir stimmten seinem Plan zu.|1
Wir stiegen in ein Auto.|1
Wir stehen uns nahe.|1
Wir stehen mit dem Rücken zur Wand.|1
Wir stehen kurz vor einem Geschäftsabschluss.|1
Wir stecken bis zum Hals in Schulden.|1
Wirst du mir je verraten, was in jener Nacht vorgefallen ist?|2
Wirst du in der kommenden Wahl deine Stimme abgeben?|2
Wirst du Französisch lernen?|1
Wirst du an der Zeremonie teilnehmen?|1
Wir sprechen kein Japanisch.|1
Wir sprechen fast alle Französisch.|1
Wir sprechen alle Englisch.|1
Wir spielten am Strand.|1
Wir spielen oft Schach.|1
Wir spielen jeden Sonnabend Fußball.|1
Wir sorgen uns um Tom.|1
Wir sollten wohl den Täter ausfindig machen.|1
Wir sollten uns wohl von hinnen machen.|1
Wir sollten uns etwas schlafen legen.|1
Wir sollten uns besser um den Garten kümmern.|1
Wir sollten Tom verklagen.|1
Wir sollten Tom rufen.|1
Wir sollten so schnell wie möglich von hier verschwinden.|2
Wir sollten schneller arbeiten.|1
Wir sollten schlafen gehen.|1
Wir sollten nicht vergessen, dass Tom kein Französisch versteht.|2
Wir sollten mit dem Zug fahren.|1
Wir sollten die Wanderung streichen.|1
Wir sollten aufs Ganze gehen.|1
Wir sollten aufs Ganze gehen.|1
Wir sollten Atomkraft nutzen.|1
Wir sollen die Rechnung sofort bezahlen.|1
Wir sitzen nie vorne.|1
Wir sind zu spät aufgestanden und haben den Zug verpasst.|2
Wir sind zusammen gegangen.|1
Wir sind zu Hause geblieben.|1
Wir sind zu dem Schluß gekommen, dass er gefeuert werden sollte.|2
Wir sind viel jünger als Tom.|1
Wir sind uns so ähnlich und gleichzeitig so verschieden.|2
Wir sind über die Entscheidung der Kommission noch nicht informiert worden.|2
Wir sind stolz auf unseren Papa.|1
Wir sind stolz auf unsere Arbeit.|1
Wir sind sterblich, aber einige Schachspiele sind unsterblich.|1
Wir sind sehr zufrieden mit den Ergebnissen.|1
Wir sind sehr stolz auf unsere Mannschaft.|1
Wir sind sehr enttäuscht von dir.|1
Wir sind praktisch eine Familie.|1
Wir sind nur Kollegen.|1
Wir sind nur Freunde.|1
Wir sind noch immer der Hoffnung, dass sich Tom erholen wird.|2
Wir sind nicht wie Tom und Maria.|1
Wir sind nicht wie Tom und Maria.|1
Wir sind nicht verliebt, nur gute Freunde.|1
Wir sind nicht jung.|1
Wir sind nicht jung.|1
Wir sind nicht faul.|1
Wir sind nicht alle so beschäftigt wir ihr.|1
Wir sind natürlich enttäuscht.|1
Wir sind nach Australien, in die Heimat der Kängurus, gezogen.|2
Wir sind mit dem Regen gegangen, aber mit der Sonne angekommen.|2
Wir sind keine Ausländer.|1
Wir sind keine Ausländerinnen.|1
Wir sind jetzt unterwegs.|1
Wir sind jetzt befreundet.|1
Wir sind in unserer Familie zu fünft.|1
Wir sind in letzter Zeit viel zusammen.|1
Wir sind in Calgary!|1
Wir sind immer noch wach.|1
Wir sind hier, um uns zu amüsieren.|1
Wir sind hier in Amerika. Sprich Englisch!|1
Wir sind hier in Amerika. Sprecht Englisch!|1
Wir sind hier in Amerika. Sprechen Sie Englisch!|1
Wir sind hier bei Tom.|1
Wir sind heute zu Hause.|1
Wir sind gute Freunde, nichts weiter.|1
Wir sind gestern nach Sydney gefahren.|1
Wir sind gerade ein bisschen knapp bei Kasse.|1
Wir sind froh, dass du wieder da bist.|1
Wir sind Freunde, und Freunde helfen einander.|1
Wir sind fertig miteinander!|1
Wir sind etwas hungrig.|1
Wir sind draußen geblieben, weil wir es so wollten.|2
Wir sind die Schüler dieser Schule.|1
Wir sind daran schuld.|1
Wir sind damit zufrieden, wie sich alles entwickelt hat.|2
Wir sind bereit zu lernen.|1
Wir sind bei Tom geblieben.|1
Wir sind beide aus Boston.|1
Wir sind begeistert, wie sich alles entwickelt hat.|1
Wir sind bald damit fertig.|1
Wir sind aus einer Laune heraus dorthin gefahren.|1
Wir sind auf verschiedene Schulen gegangen.|1
Wir sind auf unsere Kinder sehr stolz.|1
Wir sind auf euch angewiesen.|1
Wir sind auf dem Weg zur Arbeit.|1
Wir sind auf dem Heimweg.|1
Wir sind auf dem falschen Weg.|1
Wir sind auf alle Eventualitäten vorbereitet.|1
Wir sind an die Kälte gewöhnt.|1
Wir sind alle Gottes Kinder.|1
Wir sind alle Gottes Kinder.|1
Wir setzten unsere Hüte auf.|1
Wir setzten unsere Hüte auf.|1
Wir sehen uns vielen Schwierigkeiten gegenüber.|1
Wir sehen uns nur um.|1
Wir sehen uns in Japan!|1
Wir sehen mit unseren Augen.|1
Wir schwammen im Meer.|1
Wir schrien Tom an.|1
Wir schliefen beide ein.|1
Wir saßen neben Tom.|1
Wir sangen für sie.|1
Wir sahen Tom in der Menge.|1
Wir sahen Herrn Satō das Zimmer verlassen.|1
Wir sahen eine Affenschar sich von Baum zu Baum hangeln.|2
Wir sagen unseren Kindern nicht, dass wir sie liebhaben, sondern drücken unsere Zuneigung zum Beispiel dadurch aus, dass wir sie zu besseren Leistungen in der Schule anspornen.“ – Das ist das Asiatischste, was ich je gehört habe, Yumi.“|3
Wir riefen unseren Anwalt an.|1
Wir reparieren hier alle Arten von Uhren.|1
Wir radeln zum See.|1
Wir radeln zum See.|1
Wir öffneten die Tür.|1
Wir öffneten die Augen.|1
Wir nehmen kein Trinkgeld an.|1
Wir nehmen den nächsten Bus.|1
Wir nahmen uns ein Taxi, um uns nicht zu verspäten.|2
Wir nähern uns unserem Ziel.|1
Wir mussten unsere Schulden abschreiben.|1
Wir mussten ein Taxi bestellen.|1
Wir mussten den ganzen Weg zum Bahnhof laufen.|1
Wir müssen zusehen, dass wir das niemals mehr tun.|2
Wir müssen Zahnpasta kaufen.|1
Wir müssen wissen, ob Tom zugegen sein wird.|1
Wir müssen wissen, ob sie anwesend ist oder nicht.|2
Wir müssen weit gehen.|1
Wir müssen vor halb drei zu Hause sein.|1
Wir müssen vor denen dort sein.|1
Wir müssen uns überlegen, wie wir alle diese Rechnungen bezahlen.|2
Wir müssen uns mehr Mühe geben.|1
Wir müssen uns hier sofort vom Acker machen.|1
Wir müssen uns hier sofort vom Acker machen.|1
Wir müssen uns geirrt haben.|1
Wir müssen unser Möglichstes tun.|1
Wir müssen unser Haus zu Ende streichen.|1
Wir müssen unser Haus verkaufen.|1
Wir müssen unser Haus verkaufen.|1
Wir müssen unsere Sachen waschen.|1
Wir müssen unseren Wagen waschen.|1
Wir müssen unsere Mobiltelefone aufladen.|1
Wir müssen unbedingt die Polizei rufen.|1
Wir müssen über Tom alles mögliche in Erfahrung bringen.|2
Wir müssen Tom hier herausbringen.|1
Wir müssen Tom helfen.|1
Wir müssen Tom gründlich instruieren.|1
Wir müssen Tom davon überzeugen, die Wahrheit zu sagen.|2
Wir müssen streng sein.|1
Wir müssen so viele Eimer wie möglich mit Wasser füllen, weil das Wasser abgestellt werden soll.|2
Wir müssen sofort aufbrechen.|1
Wir müssen sehr vorsichtig sein.|1
Wir müssen schneller gehen.|1
Wir müssen schneller fahren.|1
Wir müssen nach Hause.|1
Wir müssen mehr erfahren.|1
Wir müssen Maut bezahlen, wenn wir auf dieser Straße fahren wollen.|2
Wir müssen in Zukunft behutsamer sein, damit das nicht noch einmal passiert.|2
Wir müssen in Erfahrung bringen, wann Tom hierzusein gedenkt.|2
Wir müssen ihr sagen, was sie machen soll.|1
Wir müssen ihn finden.|1
Wir müssen hierbleiben, bis Tom wiederkommt.|1
Wir müssen heute Abend die Kinder betreuen.|1
Wir müssen etwas tun, damit das nicht wieder passiert.|2
Wir müssen es heute tun.|1
Wir müssen es für Tom tun.|1
Wir müssen ermitteln, wer das getan hat.|1
Wir müssen ermitteln, wer das Feuer gelegt hat, durch das Toms Haus niederbrannte.|2
Wir müssen einfach weiterarbeiten.|1
Wir müssen ein Auto mieten.|1
Wir müssen diesen Bericht neu schreiben.|1
Wir müssen diese Chemikalien ordnungsgemäß entsorgen.|1
Wir müssen diese Arbeit um jeden Preis fertigstellen.|1
Wir müssen die Hecke schneiden lassen.|1
Wir müssen die Ampel beachten.|1
Wir müssen derer gedenken, die uns geholfen haben.|1
Wir müssen den Tatsachen ins Auge blicken.|1
Wir müssen den ersten Schritt machen wollen.|1
Wir müssen den Bus da nehmen.|1
Wir müssen dem Einhalt gebieten.|1
Wir müssen das selbst ergründen.|1
Wir müssen das reparieren.|1
Wir müssen das jetzt tun.|1
Wir müssen das Hemd wechseln.|1
Wir müssen das alle morgen noch mal machen.|1
Wir müssen daran glauben, dass wir gewinnen können.|1
Wir müssen andere Möglichkeiten in Betracht ziehen.|1
Wir müssen alle äußerst vorsichtig sein.|1
Wir mögen unser Haus.|1
Wir mögen unsere Schule.|1
Wir mögen die gleichen Dinge.|1
Wir möchten Peter in naher Zukunft nach Japan einladen.|2
Wir möchten euch nicht verletzen.|1
Wir möchten eine Reise nach Weißrussland buchen.|1
Wir möchten den Urlaub an einem ruhigen Ort verbringen.|2
Wir möchten auf alle Fälle, dass Sie die Arbeit bis zum Ende dieser Woche erledigen.|2
Wir mieteten einen Bus.|1
Wir machten das Beste aus unserem kleinen Zimmer.|1
Wir machen, was wir tun wollen.|1
Wir machen uns Sorgen um dich, Tom.|1
Wir machen uns Sorgen um dich, Tom.|1
Wir machen uns Sorgen um deine Gesundheit.|1
Wir machen jetzt eine Pause.|1
Wir ließen Tom allein.|1
Wir liefen zu unseren Autos zurück.|1
Wir lieben unseren Papa.|1
Wir lieben unsere Mutter.|1
Wir lieben unsere Mama.|1
Wir lieben unsere Arbeit.|1
Wir lieben sie, und sie liebt uns auch.|1
Wir lesen sehr gerne Bücher.|1
Wir leiden an einer unheilbaren Krankheit namens Hoffnung.|1
Wir leben in einer Zeit, wo alles mit Gewalt geregelt wird.|2
Wir leben in der Stadt.|1
Wir lassen unseren Hund immer drinnen schlafen.|1
Wir lagen einander weinend in den Armen.|1
Wir kümmern uns schon um Tom.|1
Wir könnten zusammen gehen.|1
Wir konnten, weil sie von innen verschlossen war, die Tür nicht öffnen.|2
Wir könnten Toms Hilfe gebrauchen. Könnten Sie ihn etwas bearbeiten?|2
Wir könnten erwischt werden.|1
Wir könnten den Arbeitsplatz verlieren.|1
Wir können uns mit einem so schwierigen Problem nicht befassen.|2
Wir können unser Gepäck in einem Schließfach lassen.|1
Wir können uns das jetzt nicht ansehen.|1
Wir können Tom schlagen.|1
Wir können Tom nicht belügen.|1
Wir können sofort damit anfangen.|1
Wir können nur weiterarbeiten.|1
Wir können nur hier sitzen und abwarten.|1
Wir können nicht voraussagen, wie Tom zumute sein wird.|2
